site,spectrum_id,org,true_label,label_source,cv_fold,total_power,mean_power,max_power,std_power,B1_power,B1_mean,B1_max,B1_std,B2_power,B2_mean,B2_max,B2_std,B3_power,B3_mean,B3_max,B3_std,B4_power,B4_mean,B4_max,B4_std,B1_frac,B2_frac,B3_frac,B4_frac,log_total,B1_log,B2_log,B3_log,B4_log,B2_B1_ratio,B3_B1_ratio,B4_B1_ratio,B4_B2_ratio,B3_B2_ratio,hi_lo_ratio,log_B2_B1,log_B4_B1,log_hi_lo,spectral_centroid,spectral_spread,spectral_skew,spectral_kurtosis,spectral_entropy,spectral_flatness,peak_freq_mhz,peak_to_mean,spectral_slope,rolloff_freq_mhz,crest_factor,amplitude_cv,band_gradient,band_range,LogReg_L1__all__pred,LogReg_L1__all__correct,LogReg_L1__all__prob_ON,LogReg_L2__all__pred,LogReg_L2__all__correct,LogReg_L2__all__prob_ON,LogReg_EN__all__pred,LogReg_EN__all__correct,LogReg_EN__all__prob_ON,LinearSVM__all__pred,LinearSVM__all__correct,LinearSVM__all__prob_ON,RBF_SVM__all__pred,RBF_SVM__all__correct,RBF_SVM__all__prob_ON,Ridge__all__pred,Ridge__all__correct,Ridge__all__decision,LogReg_L1__rfecv__pred,LogReg_L1__rfecv__correct,LogReg_L1__rfecv__prob_ON,LogReg_L2__rfecv__pred,LogReg_L2__rfecv__correct,LogReg_L2__rfecv__prob_ON,LogReg_EN__rfecv__pred,LogReg_EN__rfecv__correct,LogReg_EN__rfecv__prob_ON,LinearSVM__rfecv__pred,LinearSVM__rfecv__correct,LinearSVM__rfecv__prob_ON,RBF_SVM__rfecv__pred,RBF_SVM__rfecv__correct,RBF_SVM__rfecv__prob_ON,Ridge__rfecv__pred,Ridge__rfecv__correct,Ridge__rfecv__decision,LogReg_L1__si__pred,LogReg_L1__si__correct,LogReg_L1__si__prob_ON,LogReg_L2__si__pred,LogReg_L2__si__correct,LogReg_L2__si__prob_ON,LogReg_EN__si__pred,LogReg_EN__si__correct,LogReg_EN__si__prob_ON,LinearSVM__si__pred,LinearSVM__si__correct,LinearSVM__si__prob_ON,RBF_SVM__si__pred,RBF_SVM__si__correct,RBF_SVM__si__prob_ON,Ridge__si__pred,Ridge__si__correct,Ridge__si__decision
HARQCT1,HARQCT1_off_2025-01-30,HAR,OFF,cluster,2,3416785.7952193404,427.09822440241754,7828.6590816841,892.0571351450294,2203677.2344944165,1101.8386172472083,5457.5082375024995,1224.3599346356011,836236.8985612188,418.11844928060935,7828.6590816841,931.8474031937362,28815.6602164532,14.407830108226602,259.4222414281,24.04941180153498,348056.0019472519,174.02800097362595,3311.8056819241,354.083873168847,0.6449562151592098,0.24474372953998322,0.008433557718710717,0.1018664975820963,15.04421113383889,14.605638446988426,13.636668419242103,10.26870897860709,12.760121544042068,0.37947340267037555,0.01307617094072818,0.15794327612906867,0.41621698653297995,0.034458728460795396,0.12397444324677699,0.32170183407641323,0.14664539360653103,0.11687101388807095,2317.3643276530015,1836.5408410768207,3.5581621129572722,13.991084090053914,0.8689701381481716,0.17299786925447405,1.70265,18.32987971943897,-0.0004225152083922737,1.9146,4.281340878657745,1.0227172172598458,-0.6151723009821192,4.336929468381335,OFF,1,0.1474,OFF,1,0.0011,OFF,1,0.4808,OFF,1,0.6764,ON,0,0.6665,OFF,1,-0.4363,OFF,1,0.4276,OFF,1,0.382,OFF,1,0.3945,ON,0,0.6386,ON,0,0.6237,ON,0,0.1489,OFF,1,0.0323,OFF,1,0.003,OFF,1,0.4905,OFF,1,0.5696,ON,0,0.6828,OFF,1,-0.4751
HARQCT1,HARQCT1_on_2025-01-11,HAR,ON,cluster,2,1704170210.182943,213021.2762728679,3452085.964441,601394.2839528781,1601927408.351766,800963.7041758831,3452085.964441,986489.3781900451,96711283.0378667,48355.64151893335,500176.39459225,105546.19398720257,3970707.7175203576,1985.3538587601788,43972.70599089,4979.963725480371,1560811.0757901517,780.4055378950759,6502.6370315449,910.5724493472475,0.9400043486148011,0.05674977913590258,0.002329994793826434,0.0009158774554700133,21.25634414955681,21.194473372051434,18.3872406448035,15.194455154997977,14.260716805184579,0.06037182617243158,0.0024787063988160633,0.0009743332111384996,0.01613887259854685,0.041057336773886156,0.003256442244810312,0.05861962602321715,0.0009738588566298989,0.0032511515196125673,806.2753873230566,539.9285450707467,3.6410449181755697,13.005470649667892,0.795382669856663,0.015249195359861979,0.12747,16.20535762831069,-0.0012388547013811035,0.164325,4.025587861207811,1.707877738979497,-2.3112521889556183,6.933756566866855,ON,1,1.0,ON,1,1.0,ON,1,0.5837,ON,1,0.6798,ON,1,0.6662,ON,1,1.5351,ON,1,1.0,ON,1,1.0,ON,1,1.0,ON,1,1.0,ON,1,0.6037,ON,1,0.9511,ON,1,0.7239,ON,1,0.7367,ON,1,0.5002,ON,1,0.6435,ON,1,0.6828,ON,1,0.2137
HARQCT2,HARQCT2_off_2025-01-30,HAR,OFF,cluster,2,2168619.775136527,271.0774718920659,4396.3079377156,519.1277776962362,1272567.8498800287,636.2839249400143,3612.6963746041,499.35172934564605,568036.5344262953,284.0182672131477,4396.3079377156,713.7625328811664,14731.410320565335,7.365705160282667,302.68414075239997,15.076339188130284,313283.98050963774,156.64199025481886,2861.9086801761005,320.55515352718555,0.5868100367202053,0.2619345912727067,0.006792989019773145,0.14446238298731492,14.589601935950595,14.056548131939232,13.249942777256422,9.597805129509787,12.65486853614747,0.4463703326147997,0.011576129572928124,0.24618253599517415,0.5515208292464785,0.02593391345051038,0.178210697326816,0.3690571992554285,0.22008490722395987,0.16399692944533595,2237.081127610507,2193.621123964189,3.4535085437910666,15.227379743075474,0.8766869516637331,0.15609289905044896,1.3098,16.217902236687685,-0.00041946448195034523,8.13,4.027145668646301,1.0178192625255098,-0.46722653193058744,4.458743002429445,OFF,1,0.1864,OFF,1,0.1317,OFF,1,0.4833,OFF,1,0.6765,ON,0,0.6665,OFF,1,-0.2591,OFF,1,0.3379,OFF,1,0.2292,OFF,1,0.3744,OFF,1,0.5793,ON,0,0.6238,ON,0,0.0703,OFF,1,0.2193,OFF,1,0.2815,OFF,1,0.4919,OFF,1,0.6113,ON,0,0.6828,OFF,1,-0.2682
HARQCT2,HARQCT2_on_2025-04-12,HAR,ON,cluster,2,670354535.1379368,83794.3168922421,1022796.4595559998,206402.30510964943,588069712.0839479,294034.8560419739,1022796.4595559998,315772.4061191655,79608306.66713549,39804.153333567745,461168.93247364,103605.7114854962,230357.2049943998,115.1786024971999,2214.8196078969,229.40646422246556,2446159.1818590313,1223.0795909295157,15632.450888039999,2193.5054149796806,0.8772517843307237,0.1187555278502811,0.0003436348870929916,0.0036490529319022098,20.32331728880917,20.192356058501836,18.192629013046265,12.347390789414524,14.710030080353672,0.13537222718889347,0.00039171751284057895,0.004159641504389932,0.030727436423023963,0.002893632770730629,0.004008693279823636,0.12696055063877196,0.004151014111965691,0.004000679877294267,913.8590986263767,715.837591878469,3.063591036898519,8.85329959977739,0.8141036395879455,0.013137232869370389,0.114645,12.206036130962143,-0.0010879769682706204,0.26193,3.4937138020956624,1.6456126486584939,-1.8274419927160548,7.844965269087313,ON,1,0.984,ON,1,1.0,ON,1,0.5149,ON,1,0.677,ON,1,0.6665,ON,1,0.6783,ON,1,0.9851,ON,1,0.9996,ON,1,0.7001,ON,1,0.9506,ON,1,0.6222,ON,1,0.9213,ON,1,0.9322,ON,1,0.9921,OFF,0,0.5,ON,1,0.6619,ON,1,0.6828,ON,1,0.4508
HARQCT3,HARQCT3_off_2025-04-30,HAR,OFF,cluster,1,2754505.2976389388,344.31316220486735,14510.732060249999,907.8780665840517,2081967.6922095004,1040.9838461047502,14510.732060249999,1474.3423290891162,391149.30818704446,195.57465409352224,11739.48413121,646.5586766155332,17647.8517403866,8.8239258701933,87.24008325759999,13.059737193668909,263740.44550200703,131.87022275100352,1249.5807873480999,199.79523750661585,0.7558408742194422,0.14200346919729048,0.006406904265355268,0.09574875231791193,14.828748782201584,14.548824490680637,12.876847185012812,9.778426003043238,12.482724529130802,0.18787482132911829,0.008476525263295146,0.12667845254696736,0.6742705150719944,0.045117941847163945,0.11377880512614706,0.17216584613713964,0.11927388161260709,0.10775856265689529,1425.8547395412936,1929.9827438411514,6.1165468991384815,52.07824791670612,0.8433880485821915,0.14305839659020655,0.05241,42.14399463361745,-0.0004700535159855657,1.16265,6.4918406198223515,1.1459651253480405,-0.6886999871832783,4.770398487637399,OFF,1,0.1341,OFF,1,0.0803,OFF,1,0.4991,OFF,1,0.6781,OFF,1,0.7213,OFF,1,-0.4601,OFF,1,0.2869,OFF,1,0.2366,OFF,1,0.3923,OFF,1,0.5309,OFF,1,0.7281,OFF,1,-0.1105,OFF,1,0.1084,OFF,1,0.072,ON,0,0.5009,OFF,1,0.6785,OFF,1,0.773,OFF,1,-0.7331
HARQCT3,HARQCT3_on_2025-07-04,HAR,ON,cluster,1,1466555618.169131,183319.45227114137,2843128.8009639997,522016.6887313549,1396461128.0282629,698230.5640141314,2843128.8009639997,851494.2530161364,67672687.82334386,33836.34391167193,662210.70842689,103511.40012125055,1097535.1927951074,548.7675963975537,4785.9443474704,749.0378619221677,1324267.1247293847,662.1335623646924,4117.987829402499,766.4126435552557,0.9522046833597929,0.04614396275528057,0.0007483761128441116,0.0009029777720824654,21.106182372133187,21.05720710839589,18.030193241767236,13.908578400877566,14.096370506101394,0.04846013001371148,0.0007859403822752835,0.0009483021747975086,0.019568708844346448,0.016218288767547575,0.0016540853652204325,0.04732254489884515,0.0009478528203502405,0.0016527188726787338,764.3208988819122,470.56206501321645,3.4894045286267534,11.635070450619365,0.7882230398540766,0.012994519381959679,0.12504,15.509149551455272,-0.0011856369658981285,0.15798,3.938165759772947,1.826428676048436,-2.3202788674314987,7.1486287075183235,ON,1,1.0,ON,1,1.0,ON,1,0.522,ON,1,0.6818,OFF,0,0.7213,ON,1,0.8141,ON,1,0.9998,ON,1,1.0,ON,1,0.9433,ON,1,1.0,OFF,0,0.7235,ON,1,0.7775,ON,1,0.5901,ON,1,0.6303,ON,1,0.5002,ON,1,0.6785,OFF,0,0.773,ON,1,0.1837
HARQST1,HARQST1_off_2025-04-21,HAR,OFF,cluster,1,8239821.882104188,1029.9777352630235,64857.36917521,3734.9963825950276,7013669.530583181,3506.834765291591,64857.36917521,6797.529062564169,23464.170667364793,11.732085333682397,277.68889600000006,24.709448473827976,19241.95423635397,9.620977118176985,71.60365006723599,11.294375266156989,1183446.2266172874,591.7231133086436,5794.837493868899,1090.3267663744364,0.8511918862974395,0.00284765508321556,0.002335239100027753,0.1436252195193172,15.924489406764367,15.76337173546567,10.063272501475659,9.86490025902067,13.983942115997557,0.003345491338741536,0.0027434931389975644,0.16873424410099286,50.43631174285868,0.8200568649245565,0.170905972788288,0.0033399076326206425,0.1559213205467827,0.1577777848829223,1555.4247397956278,2020.5195400293503,7.700030233457835,78.37293994025654,0.7798742034187608,0.039993161852953193,0.14448,62.96968075590604,-0.0003571097367808751,0.289065,7.93534377046891,1.644965889590337,-0.5931432064893709,5.898471476445,OFF,1,0.0573,OFF,1,0.0376,ON,0,0.5456,OFF,1,0.6781,OFF,1,0.7212,OFF,1,-0.9953,OFF,1,0.0624,OFF,1,0.0497,OFF,1,0.3648,OFF,1,0.1974,OFF,1,0.7282,OFF,1,-0.6407,OFF,1,0.0905,OFF,1,0.152,ON,0,0.5484,OFF,1,0.6785,OFF,1,0.7728,OFF,1,-1.1319
HARQST1,HARQST1_on_2025-07-04,HAR,ON,cluster,1,16918393.945768997,2114.7992432211245,303000.81711601,9376.500421889312,12804524.553531814,6402.262276765907,303000.81711601,17868.902530285843,831554.1041014217,415.77705205071084,5697.5610071961,931.8571011312303,223114.47909683676,111.55723954841838,1806.5823652880997,222.9180759625586,3059200.809038923,1529.6004045194616,16337.159925610002,2415.5456957357296,0.7568404302781948,0.049150889071795094,0.013187686716127916,0.18082099393388207,16.643912046281557,16.36530922527231,13.631052846136596,12.315444759891163,14.933664593182835,0.06494220856267505,0.017424659397859383,0.23891561113800813,3.6788956893442553,0.2683102374170424,0.24070815155485606,0.06292053342863119,0.2142364898657265,0.21568230657072507,1788.5234321038686,2463.6063742697315,16.057360438442505,357.9661495510564,0.7979909697610936,0.11171380286527288,0.04053,143.27639755274575,-0.00035190028795373127,35.775,11.969811926347438,1.3084559122302462,-0.47721487736315815,4.049864465381146,ON,1,0.9482,ON,1,0.9952,OFF,0,0.4979,ON,1,0.6788,OFF,0,0.7213,ON,1,0.7761,ON,1,0.6553,ON,1,0.99,ON,1,0.5101,ON,1,0.9529,OFF,0,0.7275,ON,1,0.0424,ON,1,0.6341,OFF,0,0.2328,OFF,0,0.4965,OFF,0,0.6785,OFF,0,0.773,ON,1,0.2406
HARQST2,HARQST2_off_2025-04-21,HAR,OFF,cluster,1,1035023.4150312857,129.37792687891073,2766.5369804944003,258.66875281029564,624019.7238514603,312.00986192573015,2103.3184578025002,312.12912665795807,44874.342456487895,22.437171228243947,1584.2421904516,88.48717132414967,15437.539555830754,7.7187697779153766,201.66158457760002,15.800873586839696,350691.8091675067,175.34590458375334,2766.5369804944003,316.9055088185438,0.6029039679576698,0.043355871765598145,0.014915159726472584,0.3388250005502593,13.84993557380559,13.343938858100499,10.71164375710381,9.644622230752077,12.767665931690814,0.07191173730767801,0.024738864759795188,0.5619883406929335,7.814973768133487,0.3440170643270293,0.5473652214373658,0.06944372465788429,0.4459595870445228,0.4365536273974845,2752.298957782565,2761.9020086536448,3.6845847210342613,19.175458292587376,0.8684749295208446,0.15731307941647085,33.5,21.383376957968725,-0.00026524447552326495,40.185,4.624216361461611,1.0667634043801975,-0.19209097546989481,3.6993166273484217,OFF,1,0.0,OFF,1,0.0,OFF,1,0.1638,OFF,1,0.6682,OFF,1,0.7217,OFF,1,-1.0168,OFF,1,0.1048,OFF,1,0.067,OFF,1,0.3545,OFF,1,0.2981,OFF,1,0.7282,OFF,1,-0.468,OFF,1,0.0,OFF,1,0.0,OFF,1,0.2082,OFF,1,0.6779,OFF,1,0.774,OFF,1,-0.9508
HARQST2,HARQST2_on_2025-06-29,HAR,ON,cluster,1,7281417.56844678,910.1771960558475,267354.04255641,5619.313042846121,5469813.543668058,2734.906771834029,267354.04255641,10984.289861111716,169114.4984762614,84.5572492381307,3950.3563054596,176.75721678266726,434697.6004652879,217.34880023264395,4698.2346970689005,571.9690755708606,1207791.9258371727,603.8959629185863,5504.3089324609,841.7809114326326,0.7512017395308974,0.023225491037500778,0.05969958409595984,0.16587318533564205,15.800836259493584,15.514755269557964,12.03833718341456,12.98240819743015,14.004305223774017,0.03091778122345689,0.07947210576646095,0.2208104382708092,7.141859135156106,2.5704336670089583,0.29127690831067576,0.03044945522390859,0.19951493186439234,0.25563158019735227,1768.2746681934177,2370.4497228431073,25.58411183375278,905.7197915401833,0.7695380910652307,0.13835969608736381,0.05511,293.7384541328105,-0.0002494504562702147,31.575,17.138799670073034,1.3419630853177615,-0.5034833485946493,3.476418086143404,ON,1,0.9997,ON,1,1.0,ON,1,0.5081,ON,1,0.6817,OFF,0,0.7212,ON,1,1.4912,ON,1,0.6707,ON,1,0.9998,ON,1,0.5722,ON,1,0.9908,OFF,0,0.727,OFF,0,-0.2512,ON,1,1.0,ON,1,1.0,ON,1,0.5069,ON,1,0.6789,OFF,0,0.7729,ON,1,1.8021
