site,spectrum_id,org,true_label,label_source,cv_fold,total_power,mean_power,max_power,std_power,B1_power,B1_mean,B1_max,B1_std,B2_power,B2_mean,B2_max,B2_std,B3_power,B3_mean,B3_max,B3_std,B4_power,B4_mean,B4_max,B4_std,B1_frac,B2_frac,B3_frac,B4_frac,log_total,B1_log,B2_log,B3_log,B4_log,B2_B1_ratio,B3_B1_ratio,B4_B1_ratio,B4_B2_ratio,B3_B2_ratio,hi_lo_ratio,log_B2_B1,log_B4_B1,log_hi_lo,spectral_centroid,spectral_spread,spectral_skew,spectral_kurtosis,spectral_entropy,spectral_flatness,peak_freq_mhz,peak_to_mean,spectral_slope,rolloff_freq_mhz,crest_factor,amplitude_cv,band_gradient,band_range,LogReg_L1__all__pred,LogReg_L1__all__correct,LogReg_L1__all__prob_ON,LogReg_L2__all__pred,LogReg_L2__all__correct,LogReg_L2__all__prob_ON,LogReg_EN__all__pred,LogReg_EN__all__correct,LogReg_EN__all__prob_ON,LinearSVM__all__pred,LinearSVM__all__correct,LinearSVM__all__prob_ON,RBF_SVM__all__pred,RBF_SVM__all__correct,RBF_SVM__all__prob_ON,Ridge__all__pred,Ridge__all__correct,Ridge__all__decision,LogReg_L1__rfecv__pred,LogReg_L1__rfecv__correct,LogReg_L1__rfecv__prob_ON,LogReg_L2__rfecv__pred,LogReg_L2__rfecv__correct,LogReg_L2__rfecv__prob_ON,LogReg_EN__rfecv__pred,LogReg_EN__rfecv__correct,LogReg_EN__rfecv__prob_ON,LinearSVM__rfecv__pred,LinearSVM__rfecv__correct,LinearSVM__rfecv__prob_ON,RBF_SVM__rfecv__pred,RBF_SVM__rfecv__correct,RBF_SVM__rfecv__prob_ON,Ridge__rfecv__pred,Ridge__rfecv__correct,Ridge__rfecv__decision,LogReg_L1__si__pred,LogReg_L1__si__correct,LogReg_L1__si__prob_ON,LogReg_L2__si__pred,LogReg_L2__si__correct,LogReg_L2__si__prob_ON,LogReg_EN__si__pred,LogReg_EN__si__correct,LogReg_EN__si__prob_ON,LinearSVM__si__pred,LinearSVM__si__correct,LinearSVM__si__prob_ON,RBF_SVM__si__pred,RBF_SVM__si__correct,RBF_SVM__si__prob_ON,Ridge__si__pred,Ridge__si__correct,Ridge__si__decision,log_lr_B1_B2,log_lr_B1_B3,log_lr_B1_B4,log_lr_B2_B3,log_lr_B2_B4,log_lr_B3_B4,log_alr_B1,log_alr_B2,log_alr_B3,log_alr_B4,log_clr_B1,log_clr_B2,log_clr_B3,log_clr_B4,log_band_gradient_proper,log_band_range_proper,log_spectral_slope_norm,log_ilr_1,log_ilr_2,log_ilr_3
HARQCT1,HARQCT1_off_2025-01-30,HAR,OFF,cluster,2,3416785.7952193404,427.0982244024176,7828.6590816841,892.0571351450294,2203677.2344944165,1101.8386172472085,5457.5082375025,1224.3599346356011,836236.8985612188,418.11844928060935,7828.6590816841,931.8474031937362,28815.6602164532,14.407830108226602,259.4222414281,24.04941180153498,348056.0019472519,174.02800097362595,3311.8056819241,354.083873168847,0.6449562151592098,0.2447437295399832,0.0084335577187107,0.1018664975820963,15.04421113383889,14.605638446988426,13.636668419242104,10.26870897860709,12.760121544042068,0.3794734026703755,0.0130761709407281,0.1579432761290686,0.4162169865329799,0.0344587284607953,0.1239744432467769,0.3217018340764132,0.146645393606531,0.1168710138880709,2317.364327653001,1836.5408410768207,3.558162112957272,13.991084090053914,0.8689701381481716,0.172997869254474,1.70265,18.32987971943897,-0.0004225152083922,1.9146,4.281340878657745,1.0227172172598458,-0.6151723009821192,4.336929468381335,OFF,1,0.1474,OFF,1,0.0011,OFF,1,0.4808,OFF,1,0.6764,ON,0,0.6665,OFF,1,-0.4363,OFF,1,0.4276,OFF,1,0.382,OFF,1,0.3945,ON,0,0.6386,ON,0,0.6237,ON,0,0.1489,OFF,1,0.0323,OFF,1,0.003,OFF,1,0.4905,OFF,1,0.5696,ON,0,0.6828,OFF,1,-0.4751,0.968970769792131,4.336963717344338,1.8455193222562336,3.3679929475522066,0.8765485524641026,-2.491444395088104,0.4385728479646467,1.4075436177567777,4.775536565308984,2.2840921702208803,1.7878634523481747,0.8188926825560436,-2.549100264996163,-0.05765586990805893,-0.6151731074187445,4.336963717344338,-0.00043974934468272764,0.685165802091565,3.1455353865421625,0.06657526402355973
HARQCT1,HARQCT1_on_2025-01-11,HAR,ON,cluster,2,1704170210.182943,213021.2762728679,3452085.964441,601394.2839528781,1601927408.351766,800963.7041758831,3452085.964441,986489.3781900452,96711283.0378667,48355.64151893335,500176.39459225,105546.19398720255,3970707.7175203576,1985.3538587601788,43972.70599089,4979.963725480371,1560811.0757901515,780.4055378950759,6502.6370315449,910.5724493472476,0.9400043486148012,0.0567497791359025,0.0023299947938264,0.00091587745547,21.25634414955681,21.194473372051437,18.3872406448035,15.194455154997977,14.26071680518458,0.0603718261724315,0.002478706398816,0.0009743332111384,0.0161388725985468,0.0410573367738861,0.0032564422448103,0.0586196260232171,0.0009738588566298,0.0032511515196125,806.2753873230566,539.9285450707467,3.6410449181755697,13.005470649667892,0.795382669856663,0.0152491953598619,0.12747,16.20535762831069,-0.0012388547013811,0.164325,4.025587861207811,1.707877738979497,-2.3112521889556183,6.933756566866855,ON,1,1.0,ON,1,1.0,ON,1,0.5837,ON,1,0.6798,ON,1,0.6662,ON,1,1.5351,ON,1,1.0,ON,1,1.0,ON,1,1.0,ON,1,1.0,ON,1,0.6037,ON,1,0.9511,ON,1,0.7239,ON,1,0.7367,ON,1,0.5002,ON,1,0.6435,ON,1,0.6828,ON,1,0.2137,2.8072327369637406,6.000018468273453,6.933757206934935,3.192785731309712,4.126524469971194,0.9337387386614822,0.0618707775428291,2.8691035145065698,6.061889245816282,6.995627984477764,3.935252103043034,1.1280193660792932,-2.064766365230419,-2.998505103891901,-2.311252402311645,6.933757206934935,-0.0012434388202771187,1.9850133046759328,3.7529465990488475,3.4623754577969126
HARQCT2,HARQCT2_off_2025-01-30,HAR,OFF,cluster,2,2168619.775136527,271.0774718920659,4396.3079377156,519.1277776962362,1272567.8498800287,636.2839249400143,3612.6963746041,499.3517293456461,568036.5344262953,284.0182672131477,4396.3079377156,713.7625328811664,14731.410320565335,7.365705160282667,302.6841407524,15.076339188130284,313283.98050963774,156.64199025481886,2861.9086801761005,320.55515352718555,0.5868100367202053,0.2619345912727067,0.0067929890197731,0.1444623829873149,14.589601935950595,14.056548131939232,13.249942777256422,9.597805129509789,12.65486853614747,0.4463703326147997,0.0115761295729281,0.2461825359951741,0.5515208292464785,0.0259339134505103,0.178210697326816,0.3690571992554285,0.2200849072239598,0.1639969294453359,2237.081127610507,2193.621123964189,3.453508543791066,15.227379743075474,0.8766869516637331,0.1560928990504489,1.3098,16.217902236687685,-0.0004194644819503,8.13,4.027145668646301,1.0178192625255098,-0.4672265319305874,4.458743002429445,OFF,1,0.1864,OFF,1,0.1317,OFF,1,0.4833,OFF,1,0.6765,ON,0,0.6665,OFF,1,-0.2591,OFF,1,0.3379,OFF,1,0.2292,OFF,1,0.3744,OFF,1,0.5793,ON,0,0.6238,ON,0,0.0703,OFF,1,0.2193,OFF,1,0.2815,OFF,1,0.4919,OFF,1,0.6113,ON,0,0.6828,OFF,1,-0.2682,0.8066063293189973,4.4588100964763715,1.4016820019663871,3.652203767157374,0.5950756726473898,-3.0571280945099844,0.5330541287010888,1.3396604580200862,4.99186422517746,1.934736130667476,1.6667746069404394,0.8601682776214421,-2.792035489535932,0.2650926049740523,-0.46722733398879573,4.4588100964763715,-0.00044969480649242194,0.5703568052094525,3.3113075437571697,-0.30610257368389593
HARQCT2,HARQCT2_on_2025-04-12,HAR,ON,cluster,2,670354535.1379368,83794.3168922421,1022796.4595559998,206402.30510964943,588069712.0839479,294034.8560419739,1022796.4595559998,315772.4061191655,79608306.66713549,39804.15333356775,461168.93247364,103605.7114854962,230357.2049943998,115.1786024971999,2214.8196078969,229.4064642224656,2446159.181859032,1223.0795909295157,15632.45088804,2193.5054149796806,0.8772517843307237,0.1187555278502811,0.0003436348870929,0.0036490529319022,20.32331728880917,20.19235605850184,18.192629013046265,12.347390789414524,14.710030080353672,0.1353722271888934,0.0003917175128405,0.0041596415043899,0.0307274364230239,0.0028936327707306,0.0040086932798236,0.1269605506387719,0.0041510141119656,0.0040006798772942,913.8590986263767,715.837591878469,3.063591036898519,8.85329959977739,0.8141036395879455,0.0131372328693703,0.114645,12.206036130962143,-0.0010879769682706,0.26193,3.4937138020956624,1.645612648658494,-1.8274419927160548,7.844965269087313,ON,1,0.984,ON,1,1.0,ON,1,0.5149,ON,1,0.677,ON,1,0.6665,ON,1,0.6783,ON,1,0.9851,ON,1,0.9996,ON,1,0.7001,ON,1,0.9506,ON,1,0.6222,ON,1,0.9213,ON,1,0.9322,ON,1,0.9921,OFF,0,0.5,ON,1,0.6619,ON,1,0.6828,ON,1,0.4508,1.999727056316594,7.844969608461513,5.482326385251742,5.845242552144919,3.482599328935148,-2.362643223209771,0.13096123051606767,2.1306882868326618,7.975930838977581,5.61328761576781,3.8317557625074627,1.8320287061908687,-4.01321384595405,-1.6505706227442793,-1.8274421284172473,7.844969608461513,-0.001097164733776698,1.4140205620436768,5.589005710655164,1.9059147867157957
HARQCT3,HARQCT3_off_2025-04-30,HAR,OFF,cluster,1,2754505.2976389388,344.3131622048673,14510.73206025,907.8780665840516,2081967.6922095004,1040.9838461047502,14510.73206025,1474.3423290891162,391149.30818704446,195.57465409352224,11739.48413121,646.5586766155332,17647.8517403866,8.8239258701933,87.24008325759999,13.059737193668909,263740.44550200703,131.87022275100352,1249.5807873481,199.79523750661585,0.7558408742194422,0.1420034691972904,0.0064069042653552,0.0957487523179119,14.828748782201584,14.548824490680635,12.876847185012812,9.778426003043238,12.482724529130802,0.1878748213291182,0.0084765252632951,0.1266784525469673,0.6742705150719944,0.0451179418471639,0.113778805126147,0.1721658461371396,0.119273881612607,0.1077585626568952,1425.8547395412936,1929.9827438411517,6.1165468991384815,52.07824791670612,0.8433880485821915,0.1430583965902065,0.05241,42.14399463361745,-0.0004700535159855,1.16265,6.491840619822352,1.1459651253480403,-0.6886999871832783,4.770398487637399,OFF,1,0.1341,OFF,1,0.0803,OFF,1,0.4991,OFF,1,0.6781,OFF,1,0.7213,OFF,1,-0.4601,OFF,1,0.2869,OFF,1,0.2366,OFF,1,0.3923,OFF,1,0.5309,OFF,1,0.7281,OFF,1,-0.1105,OFF,1,0.1084,OFF,1,0.072,ON,0,0.5009,OFF,1,0.6785,OFF,1,0.773,OFF,1,-0.7331,1.6719793819183213,4.770454669837944,2.0661032728344573,3.098475287919623,0.394123890916136,-2.704351397003487,0.2799244087941517,1.951903790712473,5.050379078632096,2.346027681628609,2.12713433114768,0.4551549492293585,-2.6433203386902644,0.06103105831322253,-0.6887010909448191,4.770454669837944,-0.0004924966901480722,1.1822679589585374,3.2124772030344055,-0.07047259589213355
HARQCT3,HARQCT3_on_2025-07-04,HAR,ON,cluster,1,1466555618.169131,183319.45227114137,2843128.800964,522016.6887313549,1396461128.0282629,698230.5640141314,2843128.800964,851494.2530161364,67672687.82334386,33836.34391167193,662210.70842689,103511.40012125055,1097535.1927951074,548.7675963975537,4785.9443474704,749.0378619221677,1324267.124729385,662.1335623646924,4117.987829402499,766.4126435552557,0.9522046833597928,0.0461439627552805,0.0007483761128441,0.0009029777720824,21.106182372133187,21.05720710839589,18.03019324176724,13.908578400877566,14.096370506101394,0.0484601300137114,0.0007859403822752,0.0009483021747975,0.0195687088443464,0.0162182887675475,0.0016540853652204,0.0473225448988451,0.0009478528203502,0.0016527188726787,764.3208988819122,470.56206501321645,3.489404528626753,11.635070450619365,0.7882230398540766,0.0129945193819596,0.12504,15.509149551455272,-0.0011856369658981,0.15798,3.938165759772947,1.826428676048436,-2.3202788674314987,7.148628707518324,ON,1,1.0,ON,1,1.0,ON,1,0.522,ON,1,0.6818,OFF,0,0.7213,ON,1,0.8141,ON,1,0.9998,ON,1,1.0,ON,1,0.9433,ON,1,1.0,OFF,0,0.7235,ON,1,0.7775,ON,1,0.5901,ON,1,0.6303,ON,1,0.5002,ON,1,0.6785,OFF,0,0.773,ON,1,0.1837,3.027013880689566,7.148629617934327,6.960837356712771,4.1216157372447615,3.933823476023205,-0.18779226122155634,0.04897526377152417,3.07598914446109,7.1976048817058516,7.009812620484295,4.284120213834164,1.2571063331445984,-2.864509404100163,-2.6767171428786067,-2.320279118904257,7.148629617934327,-0.001187611755388858,2.1404220417813993,4.601058399360156,3.0908067259708982
HARQST1,HARQST1_off_2025-04-21,HAR,OFF,cluster,1,8239821.882104188,1029.9777352630235,64857.36917521,3734.996382595028,7013669.530583181,3506.834765291591,64857.36917521,6797.529062564169,23464.170667364797,11.732085333682395,277.68889600000006,24.709448473827976,19241.95423635397,9.620977118176985,71.60365006723599,11.294375266156989,1183446.2266172874,591.7231133086436,5794.837493868899,1090.3267663744364,0.8511918862974395,0.0028476550832155,0.0023352391000277,0.1436252195193172,15.924489406764367,15.76337173546567,10.06327250147566,9.86490025902067,13.983942115997555,0.0033454913387415,0.0027434931389975,0.1687342441009928,50.43631174285868,0.8200568649245565,0.170905972788288,0.0033399076326206,0.1559213205467827,0.1577777848829223,1555.4247397956278,2020.5195400293503,7.700030233457835,78.37293994025654,0.7798742034187608,0.0399931618529531,0.14448,62.96968075590604,-0.0003571097367808,0.289065,7.93534377046891,1.644965889590337,-0.5931432064893709,5.898471476445,OFF,1,0.0573,OFF,1,0.0376,ON,0,0.5456,OFF,1,0.6781,OFF,1,0.7212,OFF,1,-0.9953,OFF,1,0.0624,OFF,1,0.0497,OFF,1,0.3648,OFF,1,0.1974,OFF,1,0.7282,OFF,1,-0.6407,OFF,1,0.0905,OFF,1,0.152,ON,0,0.5484,OFF,1,0.6785,OFF,1,0.7728,OFF,1,-1.1319,5.700141708672559,5.898523302289231,1.7794303218788574,0.19838159361667174,-3.920711386793702,-4.1190929804103735,0.16111769251556396,5.861259401188123,6.059640994804795,1.9405480143944214,3.344523833210161,-2.355617875462398,-2.55399946907907,1.5650935113313036,-0.5931434406262858,5.898523302289231,-0.00036592534798162937,4.030608855926641,2.4890510008743423,-1.8072143201481288
HARQST1,HARQST1_on_2025-07-04,HAR,ON,cluster,1,16918393.945768997,2114.7992432211245,303000.81711601,9376.500421889312,12804524.553531814,6402.262276765907,303000.81711601,17868.902530285843,831554.1041014217,415.7770520507109,5697.5610071961,931.8571011312304,223114.4790968368,111.55723954841838,1806.5823652881,222.9180759625586,3059200.809038923,1529.6004045194616,16337.159925610002,2415.5456957357296,0.7568404302781948,0.049150889071795,0.0131876867161279,0.180820993933882,16.643912046281557,16.36530922527231,13.631052846136596,12.315444759891164,14.933664593182836,0.064942208562675,0.0174246593978593,0.2389156111380081,3.6788956893442553,0.2683102374170424,0.240708151554856,0.0629205334286311,0.2142364898657265,0.215682306570725,1788.5234321038686,2463.6063742697315,16.057360438442505,357.9661495510564,0.7979909697610936,0.1117138028652728,0.04053,143.27639755274575,-0.0003519002879537,35.775,11.969811926347438,1.3084559122302462,-0.4772148773631581,4.049864465381146,ON,1,0.9482,ON,1,0.9952,OFF,0,0.4979,ON,1,0.6788,OFF,0,0.7213,ON,1,0.7761,ON,1,0.6553,ON,1,0.99,ON,1,0.5101,ON,1,0.9529,OFF,0,0.7275,ON,1,0.0424,ON,1,0.6341,OFF,0,0.2328,OFF,0,0.4965,OFF,0,0.6785,OFF,0,0.773,ON,1,0.2406,2.7342575036051713,4.049868869277766,1.4316448808747904,1.315611365672595,-1.302612622730381,-2.618223988402976,0.2786028399993761,3.0128603436045474,4.328471709277142,1.7102477208741664,2.0539428134394324,-0.6803146901657389,-1.9959260558383338,0.622297932564642,-0.47721496029159677,4.049868869277766,-0.00035481676820905614,1.9334120223094176,2.190448133436131,-0.7185677577646863
HARQST2,HARQST2_off_2025-04-21,HAR,OFF,cluster,1,1035023.4150312856,129.37792687891073,2766.5369804944003,258.66875281029564,624019.7238514603,312.0098619257301,2103.3184578025,312.12912665795807,44874.342456487895,22.437171228243947,1584.2421904516,88.48717132414967,15437.539555830754,7.718769777915376,201.6615845776,15.800873586839696,350691.8091675067,175.34590458375334,2766.5369804944003,316.9055088185438,0.6029039679576698,0.0433558717655981,0.0149151597264725,0.3388250005502593,13.84993557380559,13.3439388581005,10.71164375710381,9.644622230752075,12.767665931690814,0.071911737307678,0.0247388647597951,0.5619883406929335,7.814973768133487,0.3440170643270293,0.5473652214373658,0.0694437246578842,0.4459595870445228,0.4365536273974845,2752.298957782565,2761.9020086536448,3.684584721034261,19.175458292587376,0.8684749295208446,0.1573130794164708,33.5,21.383376957968725,-0.0002652444755232,40.185,4.624216361461611,1.0667634043801977,-0.1920909754698948,3.6993166273484217,OFF,1,0.0,OFF,1,0.0,OFF,1,0.1638,OFF,1,0.6682,OFF,1,0.7217,OFF,1,-1.0168,OFF,1,0.1048,OFF,1,0.067,OFF,1,0.3545,OFF,1,0.2981,OFF,1,0.7282,OFF,1,-0.468,OFF,1,0.0,OFF,1,0.0,OFF,1,0.2082,OFF,1,0.6779,OFF,1,0.774,OFF,1,-0.9508,2.6323157826853176,3.6993797999002567,0.5762741754000285,1.067064017214939,-2.056041607285289,-3.123105624500228,0.5059973520560064,3.138313134741324,4.205377151956263,1.0822715274560348,1.7269924394964011,-0.9053233431889165,-1.9723873604038555,1.1507182640963727,-0.19209139180000948,3.6993797999002567,-0.00028543143656854303,1.8613283401611627,1.9458925399293283,-1.3287349990749198
HARQST2,HARQST2_on_2025-06-29,HAR,ON,cluster,1,7281417.56844678,910.1771960558476,267354.04255641,5619.313042846121,5469813.543668058,2734.906771834029,267354.04255641,10984.289861111716,169114.4984762614,84.5572492381307,3950.3563054596,176.75721678266726,434697.6004652879,217.34880023264395,4698.2346970689005,571.9690755708606,1207791.925837173,603.8959629185863,5504.3089324609,841.7809114326326,0.7512017395308974,0.0232254910375007,0.0596995840959598,0.165873185335642,15.800836259493584,15.514755269557964,12.03833718341456,12.98240819743015,14.004305223774017,0.0309177812234568,0.0794721057664609,0.2208104382708092,7.141859135156106,2.5704336670089583,0.2912769083106757,0.0304494552239085,0.1995149318643923,0.2556315801973522,1768.2746681934177,2370.449722843108,25.58411183375278,905.7197915401832,0.7695380910652307,0.1383596960873638,0.05511,293.7384541328105,-0.0002494504562702,31.575,17.138799670073034,1.3419630853177615,-0.5034833485946493,3.476418086143404,ON,1,0.9997,ON,1,1.0,ON,1,0.5081,ON,1,0.6817,OFF,0,0.7212,ON,1,1.4912,ON,1,0.6707,ON,1,0.9998,ON,1,0.5722,ON,1,0.9908,OFF,0,0.727,OFF,0,-0.2512,ON,1,1.0,ON,1,1.0,ON,1,0.5069,ON,1,0.6789,OFF,0,0.7729,ON,1,1.8021,3.476423816457917,2.532349189753379,1.5104506909192157,-0.9440746267045377,-1.9659731255387012,-1.0218984988341635,0.28608103542130614,3.762504851879223,2.8184302251746853,1.7965317263405218,1.8798059242826266,-1.5966178921752903,-0.6525432654707526,0.3693552333634109,-0.5034835636397386,3.476423816457917,-0.0002533410811178852,2.458202854895811,0.6484103751519286,-0.42649468681792463
