feature,univar_roc_auc,univar_cohens_d,univar_mw_p,univar_pb_corr,imp_l1_coef,imp_perm,imp_consensus_rank,imp_rfecv_selected,is_scale_invariant
total_power,0.8322,0.665,1.8676732194250149e-16,0.2516,0.0542319053227172,-0.0013650320427066524,35.0,False,False
mean_power,0.8526,0.711,2.4040219176764898e-18,0.268,0.004293851469121408,-0.001116716992190018,29.666666666666668,False,False
max_power,0.8297,0.695,3.122439315896474e-16,0.2626,0.0,0.0,40.0,False,False
std_power,0.8357,0.75,9.099196103044276e-17,0.2815,0.00585358528175814,0.0,35.666666666666664,False,False
B1_power,0.792,0.646,4.697930604017817e-13,0.2449,0.02560269001868782,-0.006773893502703521,25.0,True,False
B1_mean,0.8074,0.687,2.6079307894911853e-14,0.2596,0.054731464083897834,-0.0011446189911962445,26.333333333333332,False,False
B1_max,0.7814,0.649,3.1541187927382573e-12,0.2464,0.0,0.0,38.666666666666664,False,False
B1_std,0.7897,0.685,7.179936824808488e-13,0.259,0.1574749217091775,-0.007418651304687478,23.0,False,False
B2_power,0.8884,0.508,6.491950509605913e-22,0.1949,0.15308981743279604,-0.005588230055028532,32.333333333333336,False,False
B2_mean,0.9048,0.589,1.1480021836328393e-23,0.2245,0.0,0.0,40.0,False,False
B2_max,0.8535,0.646,1.9796231611169e-18,0.247,0.0642806020160703,-0.0015051124386964987,34.333333333333336,False,False
B2_std,0.8831,0.636,2.268908438656345e-21,0.2416,0.0,0.0,39.333333333333336,False,False
B3_power,0.7491,0.223,6.765797478355816e-10,0.0867,0.4062136587516193,0.007503994152841079,4.666666666666667,True,False
B3_mean,0.7405,0.285,2.5500950865560806e-09,0.1107,0.09376487218934718,0.0005894426421073259,18.666666666666668,False,False
B3_max,0.7331,0.533,7.702000452074456e-09,0.204,0.0028202492655751907,0.0,33.0,False,False
B3_std,0.7349,0.551,5.93068289912291e-09,0.2105,0.034598188253483445,0.007516235653842544,22.0,False,False
B4_power,0.5911,0.158,0.024000220755936205,0.0617,0.024418436603289094,-0.0007308280256516086,24.333333333333332,False,False
B4_mean,0.6084,0.164,0.007239303043341016,0.0642,0.020666932109612596,0.000741150401281084,24.666666666666668,False,False
B4_max,0.5652,0.245,0.10666381364912375,0.0954,0.0009897209643333173,0.0017530352288667173,23.666666666666668,False,False
B4_std,0.5828,0.238,0.040379185449573966,0.0928,0.0454015709300389,0.0006176500560903427,24.0,False,False
B1_frac,0.5332,0.108,0.4110019414070829,0.0495,0.0,0.0,35.0,False,True
B2_frac,0.572,0.073,0.07462209811117868,0.0356,0.010993158202159374,-0.004950439137457515,35.333333333333336,False,True
B3_frac,0.569,0.27,0.08744401675490848,0.1108,0.0,0.0,30.666666666666668,False,True
B4_frac,0.7013,0.246,6.176791053766e-07,0.1132,0.0044951030065659234,-0.0004014565185272619,35.333333333333336,False,True
log_total,0.8322,1.406,1.8676732194250149e-16,0.5469,0.07178658575715616,-0.006122970110859505,33.333333333333336,False,False
B1_log,0.792,1.158,4.697930604017817e-13,0.4633,0.0,0.0,21.333333333333332,True,False
B2_log,0.8884,1.719,6.491950509605913e-22,0.6133,3.713631597408859,0.07065115272811104,0.0,True,False
