site,spectrum_id,running_state,label_source,ssn_B1,lr_B2_B4,spectral_spread,rolloff_norm_B3,curvature_B2,flat_fraction,flat_override,vote_ssn_B1,vote_lr_B2_B4,vote_spectral_spread,vote_rolloff_norm_B3,vote_curvature_B2,total_votes,weighted_score,weighted_score_norm,prediction
WBN2,20251022_1733,ON,cluster,-0.1563064868997632,-7.93,166.83,0.922,1.5904835176432628,0.0,0,0.0,0.0,1.0,0.0,1.0,2.0,1.53,0.3775913129318855,ON
WBN2,20251102_0839,ON,cluster,-0.2174276589195403,-6.84,698.25,0.902,1.858700849712756,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.719,0.1774432379072063,OFF
Decatur,20241116_1140,ON,cluster,-0.1461166370793091,-4.92,1028.23,0.6235,1.1900558282415017,0.101625,0,0.0,0.0,0.0,1.0,1.0,2.0,1.457,0.3595755182625864,ON
Decatur,20241112_1127,ON,cluster,-0.1610314320041751,-4.93,1043.29,0.6235,1.0700223624688705,0.1087635954494311,0,0.0,0.0,0.0,1.0,1.0,2.0,1.457,0.3595755182625864,ON
Decatur,20241102_1259,ON,cluster,-0.1454376143416458,-5.21,1001.08,0.6535,1.0670532193101918,0.1127640955119389,0,0.0,0.0,0.0,1.0,1.0,2.0,1.457,0.3595755182625864,ON
Decatur,20241130_0741,ON,cluster,-0.1528647845185105,-3.06,1154.09,0.106,2.187611283857801,0.0791348918614826,0,0.0,0.0,0.0,1.0,1.0,2.0,1.457,0.3595755182625864,ON
Decatur,20241031_1752,ON,cluster,-0.155799362143507,-4.98,1058.13,0.6385,1.1565130445620853,0.0882610326290786,0,0.0,0.0,0.0,1.0,1.0,2.0,1.457,0.3595755182625864,ON
Decatur,20241031_1852,ON,cluster,-0.1660994694048534,-4.52,1021.7,0.6635,0.5217534727531541,0.117375,0,0.0,0.0,0.0,1.0,1.0,2.0,1.457,0.3595755182625864,ON
Decatur,20241101_0053,ON,cluster,-0.1641334459109378,-4.35,1063.92,0.6495,0.6655414042309987,0.076884610576322,0,0.0,0.0,0.0,1.0,1.0,2.0,1.457,0.3595755182625864,ON
Decatur,20241117_0142,ON,cluster,-0.1547836737761909,-4.66,1060.97,0.6505,0.9248577435456776,0.109625,0,0.0,0.0,0.0,1.0,1.0,2.0,1.457,0.3595755182625864,ON
Decatur,20241113_1831,ON,cluster,-0.1782166711247759,-4.59,1104.76,0.6565,0.6987363732685704,0.0825,0,0.0,0.0,0.0,1.0,1.0,2.0,1.457,0.3595755182625864,ON
WBN2,20251023_1601,ON,cluster,-0.1050669377595692,-7.35,547.41,0.922,2.097171285754069,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.719,0.1774432379072063,OFF
Towantic_GT2,20250103_0833 GT2,ON,cluster,-0.0826733505249702,-4.3,2198.72,0.846,0.2484092506102884,0.8756094511813977,1,0.0,0.0,0.0,0.0,1.0,1.0,0.719,0.1774432379072063,ON
EMSA_GT2_NG,20250103_0833 NG,ON,cluster,-0.0826733505249702,-4.3,2198.72,0.846,0.2484092506102884,0.8756094511813977,1,0.0,0.0,0.0,0.0,1.0,1.0,0.719,0.1774432379072063,ON
SQN2,SQN NG Unit 2 20250528_1504,OFF,cluster,-0.3453936850327456,-2.71,688.64,0.766,-0.1812963112068149,0.115,0,0.0,0.0,0.0,0.0,1.0,1.0,0.719,0.1774432379072063,OFF
Harq_ST3,HARQST-3 EMI Gen_20250425_1147,OFF,cluster,-0.2851509633803815,-2.64,2634.82,0.9785,-0.8532684762828477,0.0205,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
Harq_ST3,HARQST-3 EMI Gen_20251118_1432 ,OFF,cluster,-0.3049801252812156,-3.27,2731.57,0.981,-0.5964858137776823,0.041875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
Harq_ST3,HARQST-3 EMI Gen_20250404_1915,OFF,cluster,-0.2994296485013374,-1.84,3015.54,0.932,-0.8748049072006437,0.05025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
Harq_ST3,HARQST-3 EMI Gen_20250530_1544,ON,manual,-0.2136233908355131,-3.2,3205.06,0.97,-0.6720505738001169,0.013125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
Harq_ST3,HARQST-3 EMI Gen_20251019_1117 – HARQST-3 EMI - GEN HFCT,ON,manual,-0.2012466207269757,-2.83,3061.35,0.265,-0.0640332999525684,0.01175,0,0.0,0.0,0.0,1.0,1.0,2.0,1.457,0.3595755182625864,ON
Harq_ST3,HARQST-3 EMI Gen_20250927_1547,ON,manual,-0.2034346939529051,-2.88,3050.13,0.2685,-0.2024202587199622,0.00425,0,0.0,0.0,0.0,1.0,1.0,2.0,1.457,0.3595755182625864,ON
HARQST3,HARQST3_off_2025-06-21,OFF,cluster,-0.2343434303774236,-2.8,2992.95,0.944,-0.2846664357066298,0.04475,0,0.0,0.0,0.0,0.0,1.0,1.0,0.719,0.1774432379072063,OFF
Harq_ST3,HARQST-3 EMI Gen_20250713_1931,ON,cluster,-0.2213410898430007,-3.32,3041.38,0.656,-0.1697023509607461,0.018,0,0.0,0.0,0.0,1.0,1.0,2.0,1.457,0.3595755182625864,ON
HARQST3,HARQST3_on_2025-06-17,ON,cluster,-0.2059366652487866,-3.42,3284.7,0.2935,-0.1174635092148398,0.0185,0,0.0,0.0,0.0,1.0,1.0,2.0,1.457,0.3595755182625864,ON
Harq_ST3,HARQST-3 EMI Gen_20250616_1111,ON,manual,-0.2083208042759068,-2.91,3118.45,0.493,-0.2936662259000219,0.0135,0,0.0,0.0,0.0,1.0,0.0,1.0,0.738,0.18213228035538,OFF
Harq_ST3,HARQST-3 EMI Gen_20250402_1158,OFF,cluster,-0.3036716844459324,-1.13,2805.05,0.8995,-0.845495946985596,0.06875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
Van_GT4,20250815_1248,OFF,cluster,-0.0671482022409038,-4.15,2389.93,0.798,-1.797393251870226,0.093625,0,1.0,0.0,0.0,0.0,0.0,1.0,0.945,0.233218163869694,OFF
Van_GT4,20250731_1620,OFF,cluster,-0.0530630039702123,-4.0,2476.88,0.7915,-1.643523111567657,0.090875,0,1.0,0.0,0.0,0.0,0.0,1.0,0.945,0.233218163869694,OFF
Decatur,20241028_1110,OFF,cluster,-0.3031406308490731,0.05,2254.47,0.1235,-0.8458709409456763,0.266158269783723,0,0.0,0.0,0.0,1.0,0.0,1.0,0.738,0.18213228035538,OFF
