feature,source,mean_ON,mean_OFF,cohen_d,abs_d,AUC,AUC_abs,MW_p,r_pointbiserial,KS_stat,KS_p,MW_p_BH,significant
ssn_B1,new,-0.07812356357603067,-0.15804470038331078,0.8555045696227616,0.8555045696227616,0.678951367781155,0.678951367781155,2.429422354172382e-06,0.36875388846789003,0.3305471124620061,3.851819444236587e-06,9.078095036339597e-06,True
lr B2 B4,original,3.4141420212765956,0.5155404761904763,0.8410932624550064,0.8410932624550064,0.753894376899696,0.753894376899696,2.2546813388726932e-11,0.36336835550838775,0.4642857142857143,7.152962254365425e-12,5.787015436439913e-10,True
ilr 3,original,2.4956601063829784,0.5269428571428572,0.8378095741916791,0.8378095741916791,0.7474037487335359,0.7474037487335359,7.148571682110479e-11,0.36213609699697225,0.4493414387031408,4.0987702298134605e-11,1.0655960376991895e-09,True
clr B4,original,-2.1612425531914896,-0.45645833333333335,-0.8376627360954211,0.8376627360954211,0.2522796352583586,0.7477203647416414,6.761286190460309e-11,-0.36208094912901706,0.4493414387031408,4.0987702298134605e-11,1.0655960376991895e-09,True
clr B2,original,1.2527404255319152,0.05884523809523809,0.7777500857488162,0.7777500857488162,0.7465488855116515,0.7465488855116515,8.303345748305372e-11,0.3392651098063634,0.4891084093211753,3.6089672610801306e-13,1.0655960376991895e-09,True
alr B4,original,7.0752079787234035,4.497486904761905,0.7605041663643503,0.7605041663643503,0.7102646909827761,0.7102646909827761,3.041912804215962e-08,0.33258269440556976,0.414387031408308,1.7705907571045745e-09,2.602525399162545e-07,True
slope_diff_B1_B2,new,-1.8490165406092274,-0.14544395381623085,-0.7569853848532715,0.7569853848532715,0.3100937183383993,0.6899062816616006,5.656448980266903e-07,-0.3312130273060039,0.2948328267477204,5.781997763831275e-05,2.7221660717534466e-06,True
rolloff_norm_B3,new,0.5298218085106383,0.7448571428571429,-0.7426664826405652,0.7426664826405652,0.3107586119554205,0.6892413880445796,6.169267781910587e-07,-0.3256178891933328,0.44224924012158057,8.947618588524474e-11,2.7943154071006777e-06,True
spectral spread,original,705.6111808510639,1214.2519928571426,-0.7151903603123784,0.7151903603123784,0.3215552178318135,0.6784447821681865,2.593732537320946e-06,-0.3147854293448317,0.3191489361702128,9.494975531546806e-06,9.078095036339597e-06,True
spectral slope norm,original,-0.0017718085106382976,-0.000805952380952381,-0.7000048804873621,0.7000048804873621,0.21143617021276595,0.788563829787234,2.6931687041052502e-14,-0.30874503889675375,0.49746707193515705,1.213792829318034e-13,2.0737399021610424e-12,True
curvature_B2,new,0.027115193206180166,-1.0394657158732346,0.6910253454507642,0.6910253454507642,0.7060536980749748,0.7060536980749748,5.698069226798576e-08,0.30515546779589664,0.44072948328267475,1.0498177860454954e-10,3.863005584167167e-07,True
