site,spectrum id,running state,y,ssn_B1,lr B2 B4,slope_diff_B1_B2,rolloff_norm_B3,spectral spread,spectral slope norm,curvature_B2,lr B3 B4,slope_loglog_B3,flatness_B1,rolloff_norm_B2,curvature_B1,band range,entropy_B3,trans_B2_B3,slope_r2_B2,energy_concentration,trans_B3_B4,entropy_B2,rolloff_norm_B4,crest_B1,crest factor,spectral centroid,B4 B1 ratio,B3 B2 ratio,_old_total,score_weighted,score_unweighted,pred_weighted,pred_unweighted
WBN2,20251022_1733,ON,1,-0.15630648689976326,-7.93,2.6254557798620826,0.922,166.83,0.0028,1.5904835176432628,-4.44,0.1364258391078391,0.1579331672854049,0.93,0.12765035076909179,7.93,0.8279647783055865,0.8152961819028626,0.07440067536097772,0.9543005168035565,1.242190706924255,0.9490107924847122,0.498,6.609981043943327,9.65,1687.73,127.18,32.58,0.0,0.27665410262047335,0.27999999999888003,0,0
WBN2,20251102_0839,ON,1,-0.21742765891954038,-6.84,2.6883320032593736,0.902,698.25,0.0009,1.8587008497127562,-3.96,0.5502806863126136,0.16775455393088934,0.802,-0.10021102417142404,6.84,0.8898343824298685,1.295603736237827,0.028479203245665996,0.8581606411731154,3.2922571307567345,0.9169509500583177,0.5,3.806691988474975,8.13,1310.62,3.26,17.88,0.0,0.17285087485396225,0.15999999999936002,0,0
Decatur,20241116_1140,ON,1,-0.14611663707930916,-4.92,2.118895478141403,0.6235,1028.23,0.0007,1.1900558282415017,-1.43,-0.22508846232453242,0.4209297691027387,0.9505,-0.36486829475378774,4.92,0.8754915473981306,0.18596307915347143,0.004284694124057853,0.7662242640180772,1.5227130133615185,0.934314241360334,0.5215,3.482495466275243,7.01,6385.14,109.91,32.73,1.0,0.3291760544464334,0.31999999999872003,0,0
Decatur,20241112_1127,ON,1,-0.1610314320041751,-4.93,2.1333630898715974,0.6235,1043.29,0.0007,1.0700223624688703,-1.43,-0.2726216196037669,0.35874475252135385,0.9155,-0.4898150923929892,4.93,0.8854528475917064,0.43658190260449103,0.0007760544245833945,0.7637160092692615,1.4403521459091646,0.9336368036370551,0.518,3.8181876780655752,7.04,6371.33,96.25,32.92,1.0,0.3291760544464334,0.31999999999872003,0,0
Decatur,20241102_1259,ON,1,-0.14543761434164582,-5.21,1.9889334674811274,0.6535,1001.08,0.0007,1.0670532193101918,-1.76,-0.3014622624353713,0.41799877062525775,0.9115,-0.21779468416934353,5.21,0.9075658686475314,0.2638517808890901,0.0002862999275905498,0.7752195847948462,1.4595849788698105,0.9314278259885392,0.519,3.6563741149846467,7.69,6454.28,97.97,31.51,1.0,0.3291760544464334,0.31999999999872003,0,0
Decatur,20241130_0741,ON,1,-0.15286478451851054,-3.06,3.3927195762380147,0.106,1154.09,0.0007,2.1876112838578012,1.2,-2.304618336944099,0.34952220005314677,0.984,-0.5049742129318711,5.74,0.6777129486486639,2.0065770175321127,0.1553659874165485,0.9097367439090527,1.5824090042240204,0.8391862187086215,0.522,3.578893455919115,12.78,4769.58,93.05,71.04,1.0,0.38608140790423723,0.35999999999856,0,1
Decatur,20241031_1752,ON,1,-0.15579936214350704,-4.98,1.98651515824385,0.6385,1058.13,0.0006,1.1565130445620853,-1.58,-0.4461382664935438,0.3943485991824949,0.9245,-0.45743872127778185,4.98,0.8862420288501461,0.5224107843582635,0.003020831578491534,0.7949604084003178,1.383466143018686,0.924634699743952,0.5065,3.7936190390263875,7.71,6366.91,91.0,30.03,1.0,0.2989101521285345,0.27999999999888003,0,0
Decatur,20241031_1852,ON,1,-0.16609946940485348,-4.52,1.8915792764083712,0.6635,1021.7,0.0006,0.5217534727531541,-1.9,-0.3967934500610791,0.3503224840958821,0.8725,-0.506430223833404,4.52,0.9059189223690395,0.2312610212938102,0.025847067664986123,0.8046160041766861,1.5095325929269867,0.9086950130556126,0.515,3.687763408120632,7.19,6461.38,92.18,13.71,1.0,0.2479409614760568,0.23999999999904,0,0
Decatur,20241101_0053,ON,1,-0.16413344591093787,-4.35,1.7318496163551185,0.6495,1063.92,0.0006,0.6655414042309987,-1.74,-0.39598109227385553,0.3669598594789179,0.838,-0.5232804087040156,4.46,0.9025094774544185,0.21965077670241584,0.04855207480742063,0.787802369516974,1.491060669517199,0.8949375723551829,0.515,3.5908293471806783,7.45,6409.71,86.46,13.58,1.0,0.2989101521285345,0.27999999999888003,0,0
Decatur,20241117_0142,ON,1,-0.15478367377619096,-4.66,1.9343338577015055,0.6505,1060.97,0.0006,0.9248577435456776,-1.73,-0.3558032238284469,0.39146310223157954,0.915,-0.30226745237968744,4.66,0.890347882838174,0.3833350331575369,0.006253863228438461,0.8101257073689074,1.308253380093011,0.9327393411630744,0.506,3.5298941347085417,7.83,6408.56,78.6,18.75,1.0,0.2989101521285345,0.27999999999888003,0,0
Decatur,20241113_1831,ON,1,-0.17821667112477596,-4.59,2.1322188921043956,0.6565,1104.76,0.0006,0.6987363732685704,-1.65,-0.3872083413140834,0.32828718293292763,0.8395,-0.699987269560272,4.59,0.8877886985904819,0.5022782313460787,0.020026745006183178,0.8024431418010652,1.4710770865473712,0.9273701690801911,0.5025,4.0175495222392374,7.85,6370.66,69.02,18.85,1.0,0.2989101521285345,0.27999999999888003,0,0
WBN2,20251023_1601,ON,1,-0.10506693775956928,-7.35,1.575490043998878,0.922,547.41,0.0004,2.097171285754069,-4.7,0.034507877113733515,0.41625351355458123,0.88,-0.0937086743686107,7.35,0.8461803690607917,0.7986909328874212,0.00037321255339295423,0.8822463648463759,1.3962590986300327,0.9009693311063292,0.498,4.30810131849205,8.79,1489.46,6.3,14.16,0.0,0.2838143956546529,0.27999999999888003,0,0
