site,spectrum id,org,running state,label source,B2 mean,B2 power,B2 log,B2 std,B2 max,mean power,std power,total power,log total,max power,B1 mean,B1 power,B1 log,B1 std,spectral slope,B1 max,B4 B2 ratio,B3 power,B3 log,B3 mean,B3 std,B3 max,B4 frac,B4 B1 ratio,log B4 B1,band gradient,spectral spread,peak to mean,crest factor,log hi lo,hi lo ratio,spectral kurtosis,spectral skew,B3 B2 ratio,spectral flatness,band range,spectral centroid,B4 mean,B4 power,B4 log,spectral entropy,B4 std,B2 B1 ratio,log B2 B1,spectral slope norm,lr B2 B4,clr B2,clr B4,ilr 3,alr B4,lr B1 B4,band gradient proper,lr B3 B4,ssn_B1,rolloff_norm_B3,curvature_B2,flat_fraction,vote_ssn_B1,wvote_ssn_B1,vote_lr_B2_B4,wvote_lr_B2_B4,vote_spectral_spread,wvote_spectral_spread,vote_rolloff_norm_B3,wvote_rolloff_norm_B3,vote_curvature_B2,wvote_curvature_B2,total_votes,weighted_score,weighted_score_norm,prediction,flat_override
WBN2,20251022_1733,WBN,ON,cluster,59.38,29691.24,10.3,48.57,354.46,42014.21,252273.4,84028428.0,18.25,3909502.0,1295.59,647796.2,13.38,5447.03,0.0,56606.83,2774.67,967445.6,13.78,1934.89,3858.02,24004.32,0.98,127.18,4.85,1.62,166.83,93.05,9.65,4.82,123.03,95.96,9.05,32.58,0.01,7.93,1687.73,164767.0,82383495.0,18.23,0.6,484179.8,0.05,0.04,0.0028,-7.93,-3.62,4.3,-4.97,0.02,-4.85,1.62,-4.44,-0.1563064868997632,0.922,1.5904835176432628,0.0,0.0,0.0,0.0,0.0,1.0,0.811,0.0,0.0,1.0,0.719,2.0,1.53,0.3775913129318855,ON,0
WBN2,20251102_0839,WBN,ON,cluster,34.49,17243.73,9.76,45.1,500.76,10739.07,43457.04,21478134.0,16.88,710063.8,9928.62,4964309.0,15.42,23499.15,0.0,143874.7,938.79,308279.3,12.64,616.56,902.67,6305.57,0.75,3.26,1.45,0.39,698.25,66.12,8.13,1.46,3.31,96.83,8.54,17.88,0.05,6.84,1310.62,32376.6,16188301.0,16.6,0.72,79467.84,0.0,0.0,0.0009,-6.84,-3.85,3.0,-3.46,0.28,-1.18,0.39,-3.96,-0.2174276589195403,0.902,1.858700849712756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.719,1.0,0.719,0.1774432379072063,OFF,0
Decatur,20241116_1140,Dec,ON,cluster,49.08,98156.31,11.49,55.86,474.2,2104.52,7531.54,16836182.0,16.64,103384.9,60.98,121954.8,11.71,94.79,0.0,739.52,136.55,3212471.0,14.98,1606.24,2870.26,21127.21,0.8,109.91,4.71,1.57,1028.23,49.13,7.01,4.34,75.49,76.63,7.87,32.73,0.08,4.92,6385.14,6701.8,13403600.0,16.41,0.8,13742.69,0.8,0.59,0.0007,-4.92,-2.16,2.76,-3.19,0.23,-4.7,1.57,-1.43,-0.1461166370793091,0.6235,1.1900558282415017,0.101625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.738,1.0,0.719,2.0,1.457,0.3595755182625864,ON,0
Decatur,20241112_1127,Dec,ON,cluster,43.51,87016.92,11.37,52.15,514.93,1884.05,6955.9,15070487.0,16.53,93343.0,62.31,124612.3,11.73,103.24,0.0,908.33,137.84,2864860.0,14.87,1433.15,2369.94,14757.05,0.8,96.25,4.58,1.52,1043.29,49.54,7.04,4.27,70.21,82.59,8.28,32.92,0.08,4.93,6371.33,5997.0,11993998.0,16.3,0.79,12808.62,0.7,0.53,0.0007,-4.93,-2.19,2.73,-3.15,0.23,-4.57,1.52,-1.43,-0.1610314320041751,0.6235,1.0700223624688705,0.1087635954494311,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.738,1.0,0.719,2.0,1.457,0.3595755182625864,ON,0
Decatur,20241102_1259,Dec,ON,cluster,34.44,68879.32,11.14,44.21,490.95,1867.72,7337.63,14939918.0,16.52,110540.4,64.16,128325.3,11.76,105.42,0.0,857.8,182.53,2170137.0,14.59,1085.61,1564.02,13115.07,0.84,97.97,4.59,1.53,1001.08,59.18,7.69,4.33,74.76,97.86,8.94,31.51,0.08,5.21,6454.28,6286.29,12572576.0,16.35,0.79,13642.93,0.54,0.43,0.0007,-5.21,-2.32,2.89,-3.33,0.17,-4.58,1.53,-1.76,-0.1454376143416458,0.6535,1.0670532193101918,0.1127640955119389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.738,1.0,0.719,2.0,1.457,0.3595755182625864,ON,0
Decatur,20241130_0741,Dec,ON,cluster,249.08,498161.9,13.12,520.19,4550.8,5829.06,40316.38,46626672.0,17.66,951994.7,57.09,114180.8,11.65,95.96,0.0,731.24,21.33,35389485.0,17.38,17703.59,78608.56,951994.7,0.23,93.05,4.54,1.51,1154.09,163.32,12.78,4.33,75.14,229.29,13.9,71.04,0.03,5.74,4769.58,5312.42,10624845.0,16.18,0.68,10894.05,4.36,1.68,0.0007,-3.06,-1.46,1.6,-1.84,1.48,-4.53,1.51,1.2,-0.1528647845185105,0.106,2.187611283857801,0.0791348918614826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.738,1.0,0.719,2.0,1.457,0.3595755182625864,ON,0
Decatur,20241031_1752,Dec,ON,cluster,38.68,77365.6,11.26,49.04,455.77,1720.63,7053.58,13763292.0,16.44,102279.6,61.75,123509.8,11.72,100.06,0.0,888.75,145.27,2323628.0,14.66,1162.4,2085.77,20023.68,0.82,91.0,4.52,1.5,1058.13,59.44,7.71,4.23,67.52,95.74,8.94,30.03,0.08,4.98,6366.91,5619.39,11238788.0,16.23,0.78,13173.22,0.63,0.49,0.0006,-4.98,-2.21,2.77,-3.19,0.2,-4.51,1.5,-1.58,-0.155799362143507,0.6385,1.1565130445620853,0.0882610326290786,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.738,1.0,0.719,2.0,1.457,0.3595755182625864,ON,0
Decatur,20241031_1852,Dec,ON,cluster,63.29,126571.9,11.75,89.12,529.84,1695.01,6769.7,13560070.0,16.42,87633.31,62.77,125540.3,11.74,106.24,0.0,853.65,91.43,1735460.0,14.37,867.73,1307.88,13632.36,0.85,92.18,4.53,1.51,1021.7,51.7,7.19,3.99,52.79,73.84,7.95,13.71,0.08,4.52,6461.38,5786.25,11572497.0,16.26,0.78,12603.01,1.01,0.7,0.0006,-4.52,-1.78,2.73,-3.16,0.16,-4.52,1.51,-1.9,-0.1660994694048534,0.6635,0.5217534727531541,0.117375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.738,1.0,0.719,2.0,1.457,0.3595755182625864,ON,0
Decatur,20241101_0053,Dec,ON,cluster,71.35,142690.5,11.87,113.28,658.55,1660.56,6616.45,13282825.0,16.4,92171.28,64.04,128083.5,11.76,103.74,0.0,825.76,77.61,1937669.0,14.48,969.32,1496.63,15008.2,0.83,86.46,4.47,1.49,1063.92,55.51,7.45,3.89,48.06,86.08,8.5,13.58,0.09,4.46,6409.71,5537.19,11074382.0,16.22,0.78,12338.76,1.11,0.75,0.0006,-4.35,-1.71,2.64,-3.05,0.18,-4.46,1.49,-1.74,-0.1641334459109378,0.6495,0.6655414042309987,0.076884610576322,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.738,1.0,0.719,2.0,1.457,0.3595755182625864,ON,0
Decatur,20241117_0142,Dec,ON,cluster,46.73,93466.72,11.45,56.44,508.98,1480.17,6387.61,11841339.0,16.29,90693.97,62.79,125572.1,11.74,103.32,0.0,782.32,105.6,1752153.0,14.38,876.08,1608.92,17835.89,0.83,78.6,4.38,1.45,1060.97,61.27,7.83,3.99,53.06,95.22,9.0,18.75,0.09,4.66,6408.56,4935.07,9870148.0,16.11,0.77,12009.95,0.74,0.56,0.0006,-4.66,-1.97,2.69,-3.1,0.18,-4.36,1.45,-1.73,-0.1547836737761909,0.6505,0.9248577435456776,0.109625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.738,1.0,0.719,2.0,1.457,0.3595755182625864,ON,0
Decatur,20241113_1831,Dec,ON,cluster,43.14,86284.48,11.37,55.91,450.95,1290.82,5530.55,10326524.0,16.15,79454.39,61.51,123027.1,11.72,103.11,0.0,992.87,98.41,1626264.0,14.3,813.13,1536.67,18628.84,0.82,69.02,4.25,1.41,1104.76,61.55,7.85,3.9,48.34,94.77,8.98,18.85,0.09,4.59,6370.66,4245.47,8490948.0,15.95,0.77,10389.74,0.7,0.53,0.0006,-4.59,-1.97,2.62,-3.02,0.2,-4.23,1.41,-1.65,-0.1782166711247759,0.6565,0.6987363732685704,0.0825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.738,1.0,0.719,2.0,1.457,0.3595755182625864,ON,0
