site,spectrum_id,running_state,source
AEP_Turk,AEP_Turk_S1,ON,cluster
AEP_Turk,AEP_Turk_S2,OFF,cluster
Decatur,20241028_1110,OFF,cluster
Decatur,20241031_1752,ON,cluster
Decatur,20241031_1852,ON,cluster
Decatur,20241102_1259,ON,cluster
Decatur,20241101_0053,ON,cluster
Decatur,20241112_1127,ON,cluster
Decatur,20241130_0741,ON,cluster
Decatur,20241116_1140,ON,cluster
Decatur,20241117_0142,ON,cluster
Decatur,20241113_1831,ON,cluster
EMSA_GT1_ng,20250104_1230 ng,ON,cluster
EMSA_GT1_ng,20250105_0031 ng,OFF,cluster
EMSA_GT2_NG,20250105_0434 NG,ON,cluster
EMSA_GT2_NG,20250112_0855 NG,OFF,cluster
EMSA_GT2_NG,20250103_0833 NG,ON,cluster
GAPAC_TG3,TG3_20250722_0724,ON,cluster
GAPAC_TG3,TG3__20250722_1628,ON,cluster
GAPAC_TG3,TG3_20250813_2013,ON,manual
GAPAC_TG3,TG3_20250914_0134,ON,manual
GAPAC_TG4,TG4_20250103_1659,ON,cluster
GAPAC_TG4,TG4_20250107_0822,ON,manual
GAPAC_TG4,TG4_20250718_1746,ON,manual
GAPAC_TG4,TG4_20250723_0432,ON,manual
GAPAC_TG4,TG4_20250804_0016,ON,manual
GAPAC_TG4,TG4_20250807_1616,ON,manual
GAPAC_TG4,TG4_20250813_2015,ON,manual
GAPAC_TG4,TG4_20250820_1621,ON,manual
GAPAC_TG4,TG4_20250914_0136,ON,manual
GAPAC_TG4,TG4_20251003_0028,ON,manual
GAPAC_TG5,TG5_20250813_2113,ON,cluster
GAPAC_TG5,TG5_20250904_0333,ON,cluster
GAPAC_TG5,TG5_20250914_0133,ON,manual
HARQCT1,HARQCT1_off_2025-01-30,OFF,cluster
HARQCT1,HARQCT1_on_2025-01-11,ON,cluster
HARQCT2,HARQCT2_off_2025-01-30,OFF,cluster
HARQCT2,HARQCT2_on_2025-04-12,ON,cluster
HARQCT3,HARQCT3_off_2025-04-30,OFF,cluster
HARQCT3,HARQCT3_on_2025-07-04,ON,cluster
HARQST1,HARQST1_off_2025-04-21,OFF,cluster
HARQST1,HARQST1_on_2025-07-04,ON,cluster
HARQST2,HARQST2_off_2025-04-21,OFF,cluster
HARQST2,HARQST2_on_2025-06-29,ON,cluster
HARQST3,HARQST3_off_2025-06-21,OFF,cluster
HARQST3,HARQST3_on_2025-06-17,ON,cluster
Har_CT1,20241020_1113,ON,cluster
Har_CT1,20241122_1450,ON,cluster
Har_CT1,20241124_1450,ON,cluster
Har_CT1,20241207_1844,ON,cluster
Har_CT1,20241220_1026,OFF,cluster
Har_CT1,20250113_1114,ON,cluster
Har_CT1,20250115_1947,ON,cluster
Har_CT1,20250116_1516,ON,cluster
Harq_ST1,20250220_1443,OFF,cluster
Harq_ST1,20250307_1027,ON,cluster
Harq_ST1,20250525_1140,OFF,cluster
Harq_ST1,20250511_1129,ON,cluster
Harq_ST1,20250629_1937,ON,cluster
Harq_ST1,20250817_1151,ON,cluster
Harq_ST1,20250927_1933,ON,cluster
