site,spectrum_id,running_state,source
Harq_ST1_PT,HARQST-1 EMI PT_20250220_1444 – HARQST-1 EMI - PT HFCT,OFF,cluster
Harq_ST1_PT,HARQST-1 EMI PT_20250307_1027 – HARQST-1 EMI - PT HFCT,ON,cluster
Harq_ST1_PT,HARQST-1 EMI PT_20250511_1129 – HARQST-1 EMI - PT HFCT,ON,cluster
Harq_ST1_PT,HARQST-1 EMI PT_20250525_1140 – HARQST-1 EMI - PT HFCT,OFF,cluster
Harq_ST1_PT,HARQST-1 EMI PT_20250629_1938 – HARQST-1 EMI - PT HFCT,ON,cluster
Harq_ST1_PT,HARQST-1 EMI PT_20250817_1151 – HARQST-1 EMI - PT HFCT,ON,cluster
Harq_ST1_PT,HARQST-1 EMI PT_20250927_1934 – HARQST-1 EMI - PT HFCT,ON,cluster
Harq_ST1_PT,HARQST-1 EMI PT_20251011_1911 – HARQST-1 EMI - PT HFCT,ON,cluster
Harq_ST1_PT,HARQST-1 EMI PT_20251020_1922 – HARQST-1 EMI - PT HFCT,ON,cluster
Harq_ST1_PT,HARQST-1 EMI PT_20251118_1034 – HARQST-1 EMI - PT HFCT,OFF,cluster
Harq_ST2_PT,HARQST-2 EMI PT_20250402_1539 – HARQST-2 EMI - PT HFCT,OFF,cluster
Harq_ST2_PT,HARQST-2 EMI PT_20250411_1508 – HARQST-2 EMI - PT HFCT,ON,cluster
Harq_ST2_PT,HARQST-2 EMI PT_20250505_1149 – HARQST-2 EMI - PT HFCT,OFF,cluster
Harq_ST2_PT,HARQST-2 EMI PT_20250528_1909 – HARQST-2 EMI - PT HFCT,ON,cluster
Harq_ST2_PT,HARQST-2 EMI PT_20250605_1954 – HARQST-2 EMI - PT HFCT,ON,cluster
Harq_ST2_PT,HARQST-2 EMI PT_20250616_1917 – HARQST-2 EMI - PT HFCT,ON,cluster
Harq_ST2_PT,HARQST-2 EMI PT_20250702_1519 – HARQST-2 EMI - PT HFCT,ON,cluster
Harq_ST2_PT,HARQST-2 EMI PT_20250713_1131 – HARQST-2 EMI - PT HFCT,ON,cluster
Harq_ST2_PT,HARQST-2 EMI PT_20250921_1159 – HARQST-2 EMI - PT HFCT,ON,cluster
Harq_ST2_PT,HARQST-2 EMI PT_20251117_1821 – HARQST-2 EMI - PT HFCT,OFF,cluster
Harq_ST3_PT,HARQST-3 EMI PT_20250402_1159 – HARQST-3 EMI - PT HFCT,OFF,cluster
Harq_ST3_PT,HARQST-3 EMI PT_20250404_1916 – HARQST-3 EMI - PT HFCT,OFF,cluster
Harq_ST3_PT,HARQST-3 EMI PT_20250425_1146 – HARQST-3 EMI - PT HFCT,OFF,cluster
Harq_ST3_PT,HARQST-3 EMI PT_20250530_1545 – HARQST-3 EMI - PT HFCT,ON,cluster
Harq_ST3_PT,HARQST-3 EMI PT_20250605_1924 – HARQST-3 EMI - PT HFCT,ON,cluster
Harq_ST3_PT,HARQST-3 EMI PT_20250616_1111 – HARQST-3 EMI - PT HFCT,ON,cluster
Harq_ST3_PT,HARQST-3 EMI PT_20250713_1932 – HARQST-3 EMI - PT HFCT,ON,cluster
Harq_ST3_PT,HARQST-3 EMI PT_20250927_1547 – HARQST-3 EMI - PT HFCT,ON,cluster
Harq_ST3_PT,HARQST-3 EMI PT_20251019_1117 – HARQST-3 EMI - PT HFCT,ON,cluster
Harq_ST3_PT,HARQST-3 EMI PT_20251118_1432 – HARQST-3 EMI - PT HFCT,OFF,cluster
Towantic_STG,20240518_0825 STG,ON,manual
Towantic_STG,20240620_0516 STG,ON,manual
Towantic_STG,20240621_1055 STG,ON,cluster
Towantic_STG,20241225_1644 STG,ON,manual
Towantic_STG,20250109_1622 STG,ON,cluster
Towantic_STG,20250121_1828 STG,ON,manual
