feature,threshold,direction,weight,cohen_d
ssn_B1,-0.10086004738664403,higher,0.8555045696227616,0.8555045696227616
lr B2 B4,1.61,higher,0.8410932624550064,0.8410932624550064
slope_diff_B1_B2,-0.8458386892383135,lower,0.7569853848532715,-0.7569853848532715
rolloff_norm_B3,0.6635,lower,0.7426664826405652,-0.7426664826405652
spectral spread,724.79,lower,0.7151903603123784,-0.7151903603123784
spectral slope norm,-0.0016,lower,0.7000048804873621,-0.7000048804873621
curvature_B2,0.20334970873434313,higher,0.6910253454507642,0.6910253454507642
lr B3 B4,-1.76,higher,0.6654217682995127,0.6654217682995127
slope_loglog_B3,-0.967484045996068,lower,0.6422360453575746,-0.6422360453575746
flatness_B1,0.3108238770248696,higher,0.5913866513536217,0.5913866513536217
rolloff_norm_B2,0.288,lower,0.5477112708211412,-0.5477112708211412
curvature_B1,-1.161159837198417,higher,0.5248077308991655,0.5248077308991655
band range,7.6,higher,0.4979063588209633,0.4979063588209633
entropy_B3,0.8461803690607917,lower,0.4958171671930457,-0.4958171671930457
trans_B2_B3,-0.01736497030013673,lower,0.4836350692619602,-0.4836350692619602
slope_r2_B2,0.7185429922847436,higher,0.4824949760611167,0.4824949760611167
energy_concentration,0.7794483134253826,lower,0.39513262780400077,-0.39513262780400077
trans_B3_B4,2.702982676801903,lower,0.3614662757340232,-0.3614662757340232
entropy_B2,0.7902837626465893,lower,0.33737108429101986,-0.33737108429101986
rolloff_norm_B4,0.534,lower,0.3256091157686596,-0.3256091157686596
crest_B1,2.4627311235945792,lower,0.32449301125078533,-0.32449301125078533
crest factor,5.15,lower,0.2798915867982553,-0.2798915867982553
spectral centroid,845.85,lower,0.27733712078915607,-0.27733712078915607
B4 B1 ratio,0.0002,lower,0.2669931424302545,0.2669931424302545
B3 B2 ratio,0.0036,lower,0.2531911779451184,0.2531911779451184
