feature,family,roc_auc,cohens_d,mw_p,ks_stat,pb_corr,mean_ON,mean_OFF,std_ON,std_OFF
B2_mean,original,0.9048,0.589,1.1480021836328393e-23,0.6721,0.2245,29876.512453,477.452569,70565.418415,1150.328691
B2_power,original,0.8884,0.508,6.491950509605913e-22,0.6366,0.1949,46787823.133467,949648.915753,127537730.938302,2302485.881388
B2_log,original,0.8884,1.719,6.491950509605913e-22,0.6366,0.6133,15.672595,11.836689,2.345486,2.111041
B2_std,original,0.8831,0.636,2.268908438656345e-21,0.6705,0.2416,69610.755762,2569.873903,148756.920674,9931.089783
B2_max,original,0.8535,0.646,1.9796231611169e-18,0.5462,0.247,526885.266178,44048.911274,1040026.139978,188397.085951
mean_power,original,0.8526,0.711,2.4040219176764898e-18,0.6042,0.268,208757.207076,7688.971837,399658.941111,13271.532983
std_power,original,0.8357,0.75,9.099196103044276e-17,0.5561,0.2815,467632.475661,25981.724405,832226.213295,40152.221485
total_power,original,0.8322,0.665,1.8676732194250149e-16,0.5475,0.2516,1559329841.130655,61472718.199573,3185103938.171612,106191123.010168
log_total,original,0.8322,1.406,1.8676732194250149e-16,0.5475,0.5469,19.120617,15.691853,2.387514,2.487636
max_power,original,0.8297,0.695,3.122439315896474e-16,0.5578,0.2626,3020408.207325,325576.276062,5466536.278595,459660.825489
B1_mean,original,0.8074,0.687,2.6079307894911853e-14,0.5365,0.2596,753787.426814,29987.226361,1488478.231807,52730.861163
B1_power,original,0.792,0.646,4.697930604017817e-13,0.4792,0.2449,1414490438.192648,59952700.929683,2964596982.472767,105474036.543939
B1_log,original,0.792,1.158,4.697930604017817e-13,0.4792,0.4633,18.616093,15.313129,3.001048,2.695033
B1_std,original,0.7897,0.685,7.179936824808488e-13,0.4934,0.259,560571.824005,42379.884483,1067858.16863,67119.410243
spectral_slope,original,0.7868,0.842,1.1927503086696157e-12,0.5241,0.3189,-0.001762,-0.000716,0.001687,0.000482
B1_max,original,0.7814,0.649,3.1541187927382573e-12,0.5014,0.2464,2836723.900218,294509.369277,5522613.663065,441632.302337
B4_B2_ratio,original,0.7519,0.167,4.3971995855478683e-10,0.4678,0.0652,39.216272,9.09716,254.706853,16.831986
B3_power,original,0.7491,0.223,6.765797478355816e-10,0.5087,0.0867,2420508.583302,12898.795149,15293913.13074,16132.477121
B3_log,original,0.7491,1.071,6.765797478355816e-10,0.5087,0.4071,11.000306,8.545445,2.881068,1.488767
B3_mean,original,0.7405,0.285,2.5500950865560806e-09,0.5114,0.1107,1557.703008,8.655116,7687.061853,17.367268
B3_std,original,0.7349,0.551,5.93068289912291e-09,0.4915,0.2105,6293.18691,22.135208,16106.877227,48.244876
B3_max,original,0.7331,0.533,7.702000452074456e-09,0.4974,0.204,110922.092079,264.277606,293717.027397,595.015348
B4_frac,original,0.7013,0.246,6.176791053766e-07,0.3921,0.1132,0.099756,0.158341,0.234472,0.242585
B4_B1_ratio,original,0.6946,0.334,1.4342651220916615e-06,0.3937,0.1295,5.810346,0.48052,22.552763,0.955278
log_B4_B1,original,0.6946,0.122,1.4342651220916615e-06,0.3937,0.0498,0.366466,0.263804,1.098862,0.448106
band_gradient,original,0.6946,0.631,1.4342651220916615e-06,0.3937,0.2662,-2.117417,-1.284897,1.49075,1.123555
spectral_spread,original,0.6727,0.71,1.8851697636269957e-05,0.3464,0.3311,735.949049,1294.915511,640.494919,911.049961
peak_to_mean,original,0.6704,0.159,2.440032954918533e-05,0.4303,0.0765,50.698938,64.366837,75.806906,94.841736
crest_factor,original,0.6704,0.31,2.440032954918533e-05,0.4303,0.1402,6.134229,7.231816,3.61527,3.473856
log_hi_lo,original,0.6615,0.127,6.306443501734923e-05,0.3806,0.0518,0.361145,0.261515,1.022116,0.436846
hi_lo_ratio,original,0.6615,0.319,6.306443501734923e-05,0.3806,0.124,4.318202,0.465079,17.046194,0.901738
spectral_kurtosis,original,0.6574,0.026,9.643310566654031e-05,0.4152,0.0118,96.314498,91.302922,195.948787,196.954399
spectral_skew,original,0.653,0.16,0.0001507819554413823,0.4049,0.0712,6.416177,7.272913,5.805318,4.848499
B3_B2_ratio,original,0.6482,0.315,0.0002423645356235849,0.3983,0.1232,2.178523,0.342744,8.116871,1.496858
spectral_flatness,original,0.6408,0.458,0.00048514319370134376,0.2716,0.2176,0.035311,0.061665,0.049339,0.064607
